algo,startNode/endNode,budget,userID,totalPOI,totalCost,totalProfit,totalInterest,reachEndNode,totalPopInt,maxInterest,minInterest,tour,iter,groupID
ranClusterOnce,7,200,35034355962@N01,7,593.5766096658725,4.4299855142443265,4.36710816777042,True,4.398546841007374,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,66907518@N00,7,593.5766096658725,4.4299855142443265,0.0,True,2.2149927571221633,0.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,79833224@N00,7,593.5766096658725,4.4299855142443265,0.0,True,2.2149927571221633,0.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,57958712@N00,7,593.5766096658725,4.4299855142443265,3.0404594251414077,True,3.735222469692867,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,31499593@N03,7,593.5766096658725,4.4299855142443265,4.002035580501788,True,4.216010547373058,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,25133522@N00,7,593.5766096658725,4.4299855142443265,4.44957805907173,True,4.4397817866580285,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,88105592@N00,7,593.5766096658725,4.4299855142443265,1.1756225425950197,True,2.802804028419673,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,61825972@N08,7,593.5766096658725,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,43139087@N00,7,593.5766096658725,4.4299855142443265,5.818100330726674,True,5.124042922485501,1.0,0.015392699286001312,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,44654079@N05,7,593.5766096658725,4.4299855142443265,1.2595853801711618,True,2.844785447207744,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,93852598@N00,7,593.5766096658725,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,27031977@N04,7,593.5766096658725,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,24566752@N05,7,593.5766096658725,4.4299855142443265,0.09550417233393377,True,2.26274484328913,0.09550417233393377,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,70319561@N00,7,593.5766096658725,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,36061217@N04,7,593.5766096658725,4.4299855142443265,4.4268894796809715,True,4.428437496962649,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,7910884@N08,7,593.5766096658725,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,14954127@N00,7,593.5766096658725,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,35034351963@N01,7,593.5766096658725,4.4299855142443265,0.0,True,2.2149927571221633,0.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,90678392@N00,7,593.5766096658725,4.4299855142443265,0.0,True,2.2149927571221633,0.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,44124367522@N01,7,593.5766096658725,4.4299855142443265,2.2866038195289953,True,3.358294666886661,1.0,0.0014262357811249866,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,30739892@N03,7,593.5766096658725,4.4299855142443265,3.04185547340806,True,3.7359204938261934,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,51035729697@N01,7,593.5766096658725,4.4299855142443265,1.455684870188004,True,2.9428351922161653,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,85213921@N04,7,593.5766096658725,4.4299855142443265,1.76923076923077,True,3.0996081417375483,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,33745415@N00,7,593.5766096658725,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,43354049@N00,7,593.5766096658725,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,75546495@N03,7,593.5766096658725,4.4299855142443265,1.4954594428197623,True,2.9627224785320445,0.7477297214098811,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,23836265@N00,7,593.5766096658725,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,14864718@N02,7,593.5766096658725,4.4299855142443265,2.005089058524173,True,3.2175372863842497,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,30624156@N00,7,593.5766096658725,4.4299855142443265,6.879611323770673,True,5.6547984190075,1.0,0.011020906069911253,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,57412095@N05,7,593.5766096658725,4.4299855142443265,2.591836734693876,True,3.5109111244691014,1.0,0.0,7-21-28-22-7-23-16-7-27-11-7,1,1.0
ranClusterOnce,7,200,93851844@N00,7,593.4770947518609,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,82568321@N00,7,593.4770947518609,4.4299855142443265,2.2076226012793176,True,3.318804057761822,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,9942515@N05,7,593.4770947518609,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,41634302@N08,7,593.4770947518609,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,74547255@N00,7,593.4770947518609,4.4299855142443265,0.08109219508183235,True,2.2555388546630795,0.020560901389916935,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,61861930@N00,7,593.4770947518609,4.4299855142443265,1.9533777354900095,True,3.1916816248671678,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,69349066@N00,7,593.4770947518609,4.4299855142443265,1.003314393939394,True,2.71664995409186,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,26344918@N04,7,593.4770947518609,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,71401076@N00,7,593.4770947518609,4.4299855142443265,6.747959969207085,True,5.588972741725706,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,53025862@N00,7,593.4770947518609,4.4299855142443265,4.005948446794449,True,4.217966980519387,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,20532289@N00,7,593.4770947518609,4.4299855142443265,2.5646544476206503,True,3.497319980932488,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,41745522@N08,7,593.4770947518609,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,7262621@N06,7,593.4770947518609,4.4299855142443265,0.0,True,2.2149927571221633,0.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,65846543@N00,7,593.4770947518609,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,54058921@N00,7,593.4770947518609,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,25113640@N00,7,593.4770947518609,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,54484406@N08,7,593.4770947518609,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,67194633@N00,7,593.4770947518609,4.4299855142443265,1.6831325301204827,True,3.0565590221824044,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,70597029@N00,7,593.4770947518609,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,44124427374@N01,7,593.4770947518609,4.4299855142443265,0.0,True,2.2149927571221633,0.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,48784629@N00,7,593.4770947518609,4.4299855142443265,0.1737574775705494,True,2.301871495907438,0.05281975826543841,6.782968487893704e-05,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,98453206@N00,7,593.4770947518609,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,19614198@N00,7,593.4770947518609,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,61239510@N00,7,593.4770947518609,4.4299855142443265,2.789151356080487,True,3.609568435162407,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,14816925@N00,7,593.4770947518609,4.4299855142443265,2.9009256353937922,True,3.6654555748190596,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,12925338@N07,7,593.4770947518609,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,69635173@N00,7,593.4770947518609,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,7680826@N04,7,593.4770947518609,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,76222606@N03,7,593.4770947518609,4.4299855142443265,0.0,True,2.2149927571221633,0.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
ranClusterOnce,7,200,28636659@N05,7,593.4770947518609,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-28-21-22-7-11-27-7-16-23-7,1,2.0
