algo,iter,groupSize,intCosSim,intCosSimBin,topintRatio,intJaccard
ranClusterOnce,1,30,0.2524053701650718,0.22932204535845882,0.4,0.18628352490421457
ranClusterOnce,1,30,0.2891632380009698,0.2431483358459961,0.3,0.20206896551724138
ranClusterOnce,1,30,0.3289058567783125,0.28709588138969033,0.36666666666666664,0.23915708812260536
ranClusterOnce,1,30,0.37011220765316083,0.24959498979312753,0.3333333333333333,0.25417624521072796
ranClusterOnce,1,30,0.28636489542401816,0.21215960885378463,0.3333333333333333,0.19340996168582375
ClusterPerDayByInterest,1,38,0.395448513977356,0.3194170146433249,0.39473684210526316,0.2771218587008061
ClusterPerDayByInterest,1,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,1,29,0.48579786227274163,0.5758708693114394,0.7241379310344828,0.36707717569786535
ClusterPerDayByInterest,1,17,0.6083684240093739,0.7130602530451541,0.8235294117647058,0.4883578431372549
ClusterPerDayByInterest,1,41,0.7143380238025138,0.9072384664710929,0.975609756097561,0.5804878048780487
ClusterPerDayByInterest,1,16,0.6163153030305826,0.7285799255062103,0.875,0.5076388888888889
ClusterPerDayByInterest,1,43,0.681427405002917,0.8591871025168696,0.9534883720930233,0.5488002953119232
ClusterPerDayByInterest,1,27,0.5155434811092778,0.6230036658191457,0.7777777777777778,0.39781576448243117
ClusterPerDayByInterest,1,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,1,39,0.396633820529507,0.3140849203207112,0.38461538461538464,0.2760908681961314
ClusterPerDayByInterest,1,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,1,41,0.7143380238025138,0.9072384664710929,0.975609756097561,0.5804878048780487
ClusterPerDayByInterest,1,17,0.6083684240093739,0.7130602530451541,0.8235294117647058,0.4883578431372549
ClusterPerDayByInterest,1,39,0.3664294492005895,0.38594256776906527,0.5384615384615384,0.27237966711650924
ClusterPerDayByInterest,1,28,0.5312586060686267,0.4893977722475685,0.5714285714285714,0.3772486772486772
NormalKmeans,1,50,0.719303845089671,0.9299436072098041,1.0,0.5676598639455782
NormalKmeans,1,19,0.7698973035152219,0.9377484503932894,1.0,0.6405458089668616
NormalKmeans,1,30,0.5303956553864057,0.5214795421456778,0.5666666666666667,0.38720306513409963
NormalKmeans,1,26,0.7111006228909289,0.9606376187327942,1.0,0.5604615384615385
NormalKmeans,1,25,0.6982042787094294,0.9108868354956269,0.96,0.5385555555555556
CCKmeans,1,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
CCKmeans,1,41,0.7143380238025138,0.9072384664710929,0.975609756097561,0.5804878048780487
CCKmeans,1,17,0.6083684240093739,0.7130602530451541,0.8235294117647058,0.4883578431372549
CCKmeans,1,39,0.3664294492005895,0.38594256776906527,0.5384615384615384,0.27237966711650924
CCKmeans,1,28,0.5312586060686267,0.4893977722475685,0.5714285714285714,0.3772486772486772
ranClusterOnce,2,30,0.2831402590673587,0.21988223575643767,0.3333333333333333,0.2074712643678161
ranClusterOnce,2,30,0.3124431716277215,0.23649728028137573,0.3333333333333333,0.2125287356321839
ranClusterOnce,2,30,0.28307353796372514,0.20987403655616066,0.3,0.19789272030651342
ranClusterOnce,2,30,0.3348119802950818,0.24388422587058498,0.3,0.22762452107279693
ranClusterOnce,2,30,0.2897266720388874,0.2734179891076511,0.4666666666666667,0.21616858237547892
ClusterPerDayByInterest,2,30,0.5174377262595244,0.5755945726042816,0.7333333333333333,0.3871264367816092
ClusterPerDayByInterest,2,16,0.6163153030305826,0.7285799255062103,0.875,0.5076388888888889
ClusterPerDayByInterest,2,24,0.6183581972855214,0.7727423570189418,0.875,0.4826086956521739
ClusterPerDayByInterest,2,41,0.7160378370343642,0.9057783246439747,0.975609756097561,0.5822154471544715
ClusterPerDayByInterest,2,39,0.396633820529507,0.3140849203207112,0.38461538461538464,0.2760908681961314
ClusterPerDayByInterest,2,28,0.5312586060686267,0.4893977722475685,0.5714285714285714,0.3772486772486772
ClusterPerDayByInterest,2,41,0.7143380238025138,0.9072384664710929,0.975609756097561,0.5804878048780487
ClusterPerDayByInterest,2,39,0.3664294492005895,0.38594256776906527,0.5384615384615384,0.27237966711650924
ClusterPerDayByInterest,2,17,0.6083684240093739,0.7130602530451541,0.8235294117647058,0.4883578431372549
ClusterPerDayByInterest,2,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,2,40,0.7250203497423056,0.9090829640698094,0.975,0.5959401709401709
ClusterPerDayByInterest,2,17,0.6083684240093739,0.7130602530451541,0.8235294117647058,0.4883578431372549
ClusterPerDayByInterest,2,39,0.3664294492005895,0.38594256776906527,0.5384615384615384,0.27237966711650924
ClusterPerDayByInterest,2,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,2,29,0.5377847597820807,0.48906051944532214,0.5517241379310345,0.3803776683087028
NormalKmeans,2,50,0.719303845089671,0.9299436072098041,1.0,0.5676598639455782
NormalKmeans,2,19,0.7698973035152219,0.9377484503932894,1.0,0.6405458089668616
NormalKmeans,2,30,0.5303956553864057,0.5214795421456778,0.5666666666666667,0.38720306513409963
NormalKmeans,2,26,0.7111006228909289,0.9606376187327942,1.0,0.5604615384615385
NormalKmeans,2,25,0.6982042787094294,0.9108868354956269,0.96,0.5385555555555556
CCKmeans,2,40,0.7250203497423056,0.9090829640698094,0.975,0.5959401709401709
CCKmeans,2,17,0.6083684240093739,0.7130602530451541,0.8235294117647058,0.4883578431372549
CCKmeans,2,39,0.3664294492005895,0.38594256776906527,0.5384615384615384,0.27237966711650924
CCKmeans,2,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
CCKmeans,2,29,0.5377847597820807,0.48906051944532214,0.5517241379310345,0.3803776683087028
ranClusterOnce,3,30,0.2640340444740764,0.2003359139336144,0.26666666666666666,0.18149425287356322
ranClusterOnce,3,30,0.35716178912619684,0.23657965131519726,0.26666666666666666,0.24095785440613027
ranClusterOnce,3,30,0.34767379927506464,0.2860386288305741,0.4,0.25693486590038317
ranClusterOnce,3,30,0.31545768552621956,0.29841539709002896,0.4666666666666667,0.22701149425287356
ranClusterOnce,3,30,0.2797559889677273,0.22408848456800015,0.3333333333333333,0.21011494252873564
ClusterPerDayByInterest,3,41,0.7143380238025138,0.9072384664710929,0.975609756097561,0.5804878048780487
ClusterPerDayByInterest,3,23,0.6277872782493487,0.7869167080448991,0.9130434782608695,0.49881422924901186
ClusterPerDayByInterest,3,26,0.6101036803615019,0.7097618944414145,0.8461538461538461,0.4678974358974359
ClusterPerDayByInterest,3,20,0.46539795519755855,0.5238203534962492,0.7,0.3684210526315789
ClusterPerDayByInterest,3,40,0.39233474754257286,0.30983912309827333,0.375,0.2726068376068376
ClusterPerDayByInterest,3,26,0.5714903929451193,0.7017263811372967,0.8076923076923077,0.437025641025641
ClusterPerDayByInterest,3,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,3,30,0.47041896476981293,0.4335584409276946,0.5333333333333333,0.3331800766283525
ClusterPerDayByInterest,3,42,0.7090917326472855,0.8979201914249426,0.9761904761904762,0.5721835075493612
ClusterPerDayByInterest,3,27,0.38852746316980513,0.3926985146132554,0.5555555555555556,0.305318138651472
ClusterPerDayByInterest,3,33,0.4226787172386812,0.36409865652779977,0.45454545454545453,0.29801136363636366
ClusterPerDayByInterest,3,43,0.6573713307344257,0.8261568933599902,0.9302325581395349,0.5329826504245109
ClusterPerDayByInterest,3,31,0.47935576036277106,0.5213737073006713,0.6451612903225806,0.35555555555555557
ClusterPerDayByInterest,3,27,0.6462732608918688,0.7360720961776362,0.8148148148148148,0.49002849002849
ClusterPerDayByInterest,3,16,0.6163153030305826,0.7285799255062103,0.875,0.5076388888888889
NormalKmeans,3,50,0.719303845089671,0.9299436072098041,1.0,0.5676598639455782
NormalKmeans,3,19,0.7698973035152219,0.9377484503932894,1.0,0.6405458089668616
NormalKmeans,3,30,0.5303956553864057,0.5214795421456778,0.5666666666666667,0.38720306513409963
NormalKmeans,3,26,0.7111006228909289,0.9606376187327942,1.0,0.5604615384615385
NormalKmeans,3,25,0.6982042787094294,0.9108868354956269,0.96,0.5385555555555556
CCKmeans,3,33,0.4226787172386812,0.36409865652779977,0.45454545454545453,0.29801136363636366
CCKmeans,3,43,0.6573713307344257,0.8261568933599902,0.9302325581395349,0.5329826504245109
CCKmeans,3,31,0.47935576036277106,0.5213737073006713,0.6451612903225806,0.35555555555555557
CCKmeans,3,27,0.6462732608918688,0.7360720961776362,0.8148148148148148,0.49002849002849
CCKmeans,3,16,0.6163153030305826,0.7285799255062103,0.875,0.5076388888888889
ranClusterOnce,4,30,0.2847463358865511,0.27384401776484524,0.4666666666666667,0.2060536398467433
ranClusterOnce,4,30,0.33876860744121046,0.2613693003308826,0.36666666666666664,0.2296551724137931
ranClusterOnce,4,30,0.2612171769043004,0.2139026454112331,0.23333333333333334,0.18379310344827587
ranClusterOnce,4,30,0.3311496494441507,0.22257480239796001,0.23333333333333334,0.22329501915708813
ranClusterOnce,4,30,0.3127498674140687,0.27889991049310087,0.4666666666666667,0.23076628352490422
ClusterPerDayByInterest,4,39,0.3664294492005895,0.38594256776906527,0.5384615384615384,0.27237966711650924
ClusterPerDayByInterest,4,28,0.5312586060686267,0.4893977722475685,0.5714285714285714,0.3772486772486772
ClusterPerDayByInterest,4,41,0.7143380238025138,0.9072384664710929,0.975609756097561,0.5804878048780487
ClusterPerDayByInterest,4,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,4,17,0.6083684240093739,0.7130602530451541,0.8235294117647058,0.4883578431372549
ClusterPerDayByInterest,4,24,0.41111826873927193,0.4524893676781387,0.625,0.32669082125603865
